cenote-mexico	尤卡坦天坑	墨西哥	La Palapita de los Tamales	['香蕉叶tamal', 'relleno negro黑酱火鸡']	Tamale_Oaxaqueño.jpg
chernobyl	切尔诺贝利	乌克兰	切尔诺贝利核电站19号食堂	['罗宋汤', '基辅式肉饼', '荞麦饭', '水果甜汤']	Borscht_with_bread.jpg
chernobyl	切尔诺贝利	乌克兰	Desiatka旅馆餐厅（切尔诺贝利镇）	['乌克兰红菜汤', '土豆炖肉', '黑面包配猪油']	Borscht_with_bread.jpg
chernobyl	切尔诺贝利	乌克兰	基辅出发前的Puzata Hata（连锁乌克兰家常菜）	['瓦雷尼基饺子', '红菜汤', '基辅蛋糕']	Chicken_Kiev_-_Ukrainian_East_Village_restaurant.jpg
chiang-mai	清迈	泰国	凤飞飞猪脚饭（昌卜克门夜市）	['卤猪脚饭', '卤蛋', '酸菜']	Khao_kha_moo_thailand.jpg
chiang-mai	清迈	泰国	Khao Soi Khun Yai	['khao soi gai鸡腿咖喱面']	Khao_soi_Chiang_Mai.jpg
chiang-mai	清迈	泰国	SP Chicken	['炭烤整鸡', '青木瓜沙拉', '糯米饭']	Kai_yang_CM.jpg
chiang-mai	清迈	泰国	Huen Phen	['gaeng hang lay缅式咖喱肉', '北部辣肉沫']	แกงฮังเล_ที่_หลู้ลำ.jpg
chiang-mai	清迈	泰国	Tong Tem Toh	['sai ua北部香肠', '烤猪颈肉', '辣蘸水拼盘']	Sai_ua.JPG
chichen-itza	奇琴伊察	墨西哥	瓦拉多利德广场Marquesitas摊	['Marquesita榛子酱奶酪卷', '青芒果杯']	Marquesitas.jpg
chichen-itza	奇琴伊察	墨西哥	El Amigo Casiano	['Lomitos de Valladolid炖猪肉', '火鸡肉汤Escabeche']	Lomitos_de_valladolid.jpg
chichen-itza	奇琴伊察	墨西哥	La Palapita de los Tamales	['香蕉叶玉米粽Tamal', 'Cochinita Pibil玉米饼']	Tamale_Oaxaqueño.jpg
chichen-itza	奇琴伊察	墨西哥	El Mesón del Marqués	['Cochinita Pibil慢烤猪', '酸橙汤Sopa de Lima']	Cochinita_pibil,_Mazatlán,_22_de_marzo_de_2023.jpg
chichen-itza	奇琴伊察	墨西哥	皮斯特村路边Cochinita早市摊	['Cochinita Pibil塔可', '腌紫洋葱']	Cochinita_pibil,_Mazatlán,_22_de_marzo_de_2023.jpg
chichen-itza	奇琴伊察	墨西哥	IX CAT IK	['玛雅土灶烤鱼Tikin Xic', '巧克力辣酱火鸡Relleno Negro']	Pescado_en_Tikin_Xic_servido_en_Campeche_01.jpg
chichen-itza	奇琴伊察	墨西哥	Hacienda Chichén庄园餐厅	['庄园花园沙拉', '尤卡坦三拼Poc Chuc']	Poc_Chuc_Torta_at_Yucatasia.jpg
cliffs-of-moher	莫赫悬崖	爱尔兰	Stonecutters Kitchen	['海鲜浓汤', '炸鱼薯条']	Seafood_Chowder_Bread_Guiness.JPG
cliffs-of-moher	莫赫悬崖	爱尔兰	Gus O'Connor's Pub	['海鲜浓汤配黑面包', '培根卷心菜']	Seafood_Chowder_Bread_Guiness.JPG
colmar	科尔马	法国	圣诞集市Bretzel与热红酒摊	['现烤Bretzel碱水结', '肉桂热红酒Vin Chaud']	Bretzel_03.JPG
colmar	科尔马	法国	Marché Couvert室内市场	['Munster奶酪', '阿尔萨斯火腿三明治', '现做Kougelhopf']	Munster_01.jpg
colmar	科尔马	法国	La Soï	['经典Tarte Flambée火焰薄饼', 'Munster奶酪版火焰薄饼']	Tarte_flambée_alsacienne_514471722.jpg
colmar	科尔马	法国	Wistub Brenner	['Choucroute Garnie酸菜什锦肉', '焗蜗牛', '阿尔萨斯猪肘']	Choucroute_garnie_servie_au_restaurant_Stam,_à_Lyon_(mars_2023).jpg
colmar	科尔马	法国	Aux Trois Poissons	['白葡萄酒炖鱼Matelote', '香煎鲈鱼']	Matelote_alsacienne_02.jpg
cotopaxi	科托帕希火山	厄瓜多尔	Chugchucaras Rosita（拉塔昆加）	['Chugchucaras炸猪肉拼盘', 'Mote白玉米', '炸大蕉']	EC_Latacunga_Chugchucara_2012.jpg
cotopaxi	科托帕希火山	厄瓜多尔	Hacienda El Porvenir庄园餐厅	['Locro de Papa土豆奶酪汤', '庄园烤羊排']	Locro_argentino.jpg
cusco	库斯科	秘鲁	夜市Anticuchos烤牛心串摊	['Anticuchos烤牛心串', '炭烤土豆']	Anticuchos_-_Grilled_Beef_Heart_skewers.jpg
cusco	库斯科	秘鲁	Pachapapa	['烤豚鼠Cuy al Horno', '泥炉烤羊驼肉', '石板烤鳟鱼']	Cuy_al_horno_en_La_Chomba,_Cusco.jpg
cusco	库斯科	秘鲁	Chicha por Gastón Acurio	['Ají de Gallina黄椒鸡', '藜麦炖菜', '皮斯科酸酒']	Ají_de_gallina.jpg
danakil	达纳基尔洼地	埃塞俄比亚	探险队随车厨房	['番茄意面', '蔬菜炖罐头', '冰镇西瓜']	Spaghettata.JPG
danakil	达纳基尔洼地	埃塞俄比亚	Hamed Ela营地晚餐	['Injera配Shiro鹰嘴豆糊', '扁豆汤']	Injera_with_eight_kinds_of_stew.jpg
danakil	达纳基尔洼地	埃塞俄比亚	Geza Gerlase（默克莱）	['Tihlo大麦团蘸辣肉汁', '炖羊肉Key Wat']	Eating_Traditional_Tihlo,_Ethiopia.jpg
dead-sea	死海	约旦	Sweimeh 村口沙威玛摊	['鸡肉沙威玛', '薄荷柠檬汁']	Шаурма_6.jpg
dead-sea	死海	约旦	Dead Sea Panorama Complex 餐厅	['曼萨夫', '阿拉伯烤肉拼盘']	Mansaf,_the_traditional_dish_of_Jordan.jpg
death-valley	死亡谷国家公园	美国	Timbisha Shoshone部落塔可摊	['印第安炸面包塔可', '炸面包蘸蜂蜜']	Frybread.jpg
