spiti-valley	斯皮提河谷	印度	Kaza老市场的momo摊	['牦牛肉momo（藏式蒸饺）', 'thukpa汤面']	Momo_nepal.jpg
ilulissat	伊卢利萨特冰峡湾	格陵兰	Kalaaliaraq鱼市场（伊卢利萨特港边）	['现切鲸鱼皮mattak', '风干格陵兰大比目鱼', '海豹肉']	Mattak.jpg
ilulissat	伊卢利萨特冰峡湾	格陵兰	Café Inuit（镇中心小咖啡馆）	['格陵兰虾开放三明治', '热汤', '华夫饼']	Ida_Davidsen_udsnit_af_glasmontren.JPG
svalbard	斯瓦尔巴群岛	挪威	Svalbardbutikken超市熟食柜（朗伊尔城）	['挪威热狗', '现烤肉桂卷']	Hot_dog_with_mustard.png
svalbard	斯瓦尔巴群岛	挪威	Svalbar（朗伊尔城酒吧餐厅）	['汉堡', '免税啤酒', '炸鱼薯条']	RedDot_Burger.jpg
svalbard	斯瓦尔巴群岛	挪威	Kroa（老矿工风格餐馆）	['北极红点鲑', '鲸肉排', '驯鹿汉堡']	Salvelinus_alpinus_311639131.jpg
svalbard	斯瓦尔巴群岛	挪威	Gruvelageret（老矿仓改建餐厅，山谷里）	['驯鹿里脊', '极地风干羊肉', '北极甜虾']	Reindeer_steak_2.jpg
svalbard	斯瓦尔巴群岛	挪威	Huset（历史老宅晚宴+两万瓶酒窖）	['驯鹿肉配云莓酱', '帝王蟹', '多道式北极风味套餐']	Reindeer_steak_2.jpg
svaneti	斯瓦涅季	格鲁吉亚	梅斯蒂亚Seti广场旁的面包房	['kubdari（斯瓦涅季肉馅面包）', '现烤大列巴']	Kubdari_meat_pastry.jpg
svaneti	斯瓦涅季	格鲁吉亚	Cafe Laila（梅斯蒂亚中心广场）	['tashmijabi（拉丝芝士土豆泥）', 'kubdari', '烤猪肉串']	თაშმიჯაბი.jpg
sydney	悉尼	澳大利亚	Harry's Café de Wheels（伍卢穆卢码头）	['Tiger肉派（肉派+土豆泥+豌豆泥+肉汁）', '咖喱牛肉派']	MeatPie.JPG
sydney	悉尼	澳大利亚	Bourke Street Bakery（萨里山总店）	['猪肉茴香香肠卷', '姜味布蕾挞']	Sausage_roll_-_One_Market,_One_Garden_Brighton_(cropped).jpg
sydney	悉尼	澳大利亚	Chat Thai（Haymarket店）	['船面', '青木瓜沙拉', '椰浆糯米芒果']	Boat_noodles.jpg
sydney	悉尼	澳大利亚	悉尼鱼市场（Pyrmont）	['现开悉尼岩蚝一打', '盐椒鱿鱼', '烤龙虾半只']	Sydney_rock_oysters.jpg
taj-mahal-agra	泰姬陵	印度	Deviram Sweets（老城早餐店）	['bedai配土豆咖喱', 'jalebi', '甜奶茶']	Bedai_and_Sabzi.JPG
taj-mahal-agra	泰姬陵	印度	Panchhi Petha（总店）	['原味petha', '藏红花petha', '玫瑰petha']	Petha-from-Agra.JPG
taj-mahal-agra	泰姬陵	印度	Mama Chicken Mama Franky House（Sadar Bazaar）	['鸡肉franky卷', '黄油鸡', '烤鸡tikka']	Kolkata_Rolls.jpg
taj-mahal-agra	泰姬陵	印度	Pinch of Spice（Fatehabad路）	['黄油鸡', 'dal makhani', '蒜香馕']	Butter_Chicken_&_Butter_Naan_-_Home_-_Chandigarh_-_India_-_0006.jpg
tokyo	东京	日本	浅草メンチ	['高座豚メンチカツ炸肉饼']	Menchi_(minced_pork)_katsu.jpg
tokyo	东京	日本	挽肉と米 渋谷	['炭烤汉堡肉定食', '生蛋拌饭']	Hamburg-Steak.jpg
tokyo	东京	日本	六厘舎 東京駅	['特製つけめん沾面']	Tsukemen_at_a_Tokyo_restaurant.jpg
tokyo	东京	日本	うなぎ 色川	['鰻重鳗鱼饭', '肝吸汤']	小川菊鰻魚飯_(49287165332).jpg
tokyo	东京	日本	うかい亭 表参道	['特选和牛铁板烧套餐', '蒜香炒饭']	Tajimagyu2.jpg
tokyo	东京	日本	すきやばし次郎 本店	['主厨おまかせ握寿司约20贯']	Sushi_platter.jpg
torres-del-paine	百内国家公园	智利	Plaza Arturo Prat边的sopaipilla炸饼摊	['sopaipilla南瓜炸饼', 'pebre辣酱']	Sopapillas.jpg
torres-del-paine	百内国家公园	智利	La Picada de Carlitos	['cazuela牛肉炖锅', 'bistec a lo pobre牛排煎蛋']	Cazuela_ecuatoriana.jpg
torres-del-paine	百内国家公园	智利	La Mesita Grande	['窑烤玛格丽特披萨', 'calafate sour鸡尾酒']	Pizza-3007395.jpg
torres-del-paine	百内国家公园	智利	El Asador Patagónico	['炭烤帕塔哥尼亚羊排(cordero al palo)', '烤土豆']	Asado_2005.jpg
trolltunga	巨魔之舌	挪威	Circle K Odda加油站	['挪威热狗pølse配脆洋葱', '土豆薄饼卷热狗(lompe)']	Hot_dog_with_mustard.png
trolltunga	巨魔之舌	挪威	Pizzabakeren Odda	['现烤意式腊肠披萨', '蒜香面包']	Pizza-3007395.jpg
tulum	图伦	墨西哥	Taquería Honorio	['cochinita pibil塔可', '烤乳猪torta']	Cochinita_pibil_2.jpg
tulum	图伦	墨西哥	Antojitos La Chiapaneca	['al pastor烤肉塔可', '炸empanada']	Tacos-al-Pastor.jpg
tulum	图伦	墨西哥	Burrito Amor	['手工卷饼配自制辣酱', '洛神花冷饮']	Burrito.JPG
tulum	图伦	墨西哥	El Camello Jr	['aguachile辣腌虾', '整条炸鱼']	Aguachiles.jpg
tulum	图伦	墨西哥	Hartwood	['柴火烤章鱼', '当日渔获配烤菠萝']	Grilled_octopus_at_Other_Mama.jpg
uluru	乌鲁鲁	澳大利亚	Kulata Academy Cafe	['牛肉派', 'flat white咖啡']	Meat_pie.jpg
uluru	乌鲁鲁	澳大利亚	Ayers Wok Noodle Bar	['炒面', '春卷']	Homemade_Chow_mein_with_shrimps_and_meat_with_a_choy_and_Choung.jpg
